smiles,pIC50
C=C1C(=O)[C@@]23C(CC[C@@H]1[C@H]2OC(=O)Nc1cccc(Cl)c1)[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,6.35
C=C1C(=O)[C@]23[C@H](O)[C@@H]1CC[C@H]2[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,5.29
C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,5.29
C=CCCC(=O)O[C@@H]1CC[C@]2(C)C[C@H]3OC(=O)C(=C)[C@H]3C[C@H]2C1=C,5.75
C=CCN1C(=O)/C(=C2/C(=O)Nc3ccccc32)SC1=S,6.3
CC(=O)C1=C(C(Cl)(Cl)Cl)N[B-](c2ccccc2)(c2ccccc2)[O+]=C1N,7.13
CC(=O)N1CCCN(S(=O)(=O)NC(=O)c2coc(Nc3cc(C(F)(F)F)ccc3C)n2)CC1,6.55
CC(=O)N1CCC[C@@H](Nc2nnc(-c3ccc4c(c3O)CCC4)n(C)c2=O)C1,7.29
CC(=O)Nc1ccc(CC(=O)Nc2cccc(O)c2)cc1,5.44
CC(=O)Nc1ccc(Cn2c(SCC3CCCCC3)nc3ccncc32)cc1,4.99
CC(=O)OC1=C(F)C(C(C)=O)[C@@H]2CO[C@H]1O2,5.43
CC(=O)OC[C@@H]1C=C(F)C(=O)CO1,5.43
CC(=O)OC[C@@H]1C=CC(=O)CO1,5.37
CC(=O)c1ccc(S(=O)(=O)N(c2ccc3c(c2)N(S(C)(=O)=O)CCC3)S(=O)(=O)c2ccc(C(C)=O)cc2)cc1,5.11
CC(=O)c1ccc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)cc1,6.37
CC(=O)c1ccc(S(=O)(=O)Nc2ccc3c(c2)N(S(C)(=O)=O)CCC3)cc1,4.82
CC(C)(C)OC(=O)NC1CN(c2ccc(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)c3nonc23)C1,6.02
CC(C)(C)c1ccc(CC(=O)Nc2cccc(O)c2)cc1,4.91
CC(C)(C)c1ccc(S(=O)(=O)N(c2ccc3c(c2)N(S(C)(=O)=O)CCC3)S(=O)(=O)c2ccc(C(C)(C)C)cc2)cc1,5.01
CC(C)(C)c1ccc(S(=O)(=O)NC(=O)Nc2cccc3ccccc23)cc1,5.23
CC(C)(N)/C=C/[S+]([O-])(=NC#N)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,7.92
CC(C)(O)c1ccoc1S(=O)(=O)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,8.09
CC(C)(O)c1cnc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,7.055
CC(C)(O)c1coc(/C=C/S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,6.68
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1,8.22
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc4ccccc4c3)ccc3c2CCC3)c1,7.72
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(Cl)c3Cl)ccc3c2CCC3)c1,8.0
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(OC(F)(F)F)c3)ccc3c2CCC3)c1,6.45
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccs3)ccc3c2CCC3)c1,6.53
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccnc(F)c3)ccc3c2CCC3)c1,7.57
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cncnc3)ccc3c2CCC3)c1,6.82
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2C(O)CC4)CCC3)c1,6.63
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC(O)C4)CCC3)c1,5.74
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,7.92
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,7.42
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4O)CCC3)c1,5.71
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@@H]4O)CCC3)c1,5.2
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@H]4O)CCC3)c1,5.91
CC(C)(O)c1coc(S(=O)(=O)[N-]C(=O)Nc2c3c(cc4c2CCC4)CCC3)c1.[Na+],7.52
CC(C)(O)c1coc(S(N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,7.54
CC(C)(O)c1coc([S@@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,5.89
CC(C)(O)c1coc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,7.89
CC(C)(O)c1csc(/C=C/S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,6.85
CC(C)(O)c1csc(C(=O)NC2(C(=O)Nc3c(-c4cccc(Cl)c4Cl)ccc4c3CCC4)CC2)c1,6.16
CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1,7.92
CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(Cl)c3Cl)ccc3c2CCC3)c1,8.1
CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,6.57
CC(C)(O)c1csc(S(N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,7.7
CC(C)(O)c1csc([S@@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,6.16
CC(C)(O)c1csc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,7.355
CC(C)(O)c1csc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,7.695
CC(C)(O)c1nc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cs1,6.8
CC(C)(O)c1ncc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,6.68
CC(C)(O)c1ncc(S(N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,7.44
CC(C)(O)c1ncc([S@@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,6.1
CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(c(F)c4c2CCC4)CCC3)s1,7.22
CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)s1,7.64
CC(C)(O)c1ncc([S@](N)(=O)=NC(=O)Nc2c3c(nc4c2CCC4)CCC3)s1,6.375
CC(C)(O)c1nn(CC(=O)N[C@H]2C[C@@](C)(O)C2)c(=O)c2cc3sc(Cl)cc3n12,7.625
CC(C)(O)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12,6.51
CC(C)OC(=O)CNC(=O)Nc1c2c(cc3c1CCC3)CCC2,5.75
CC(C)OC(=O)[C@@H](Cc1cnccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,8.735
CC(C)OC(=O)[C@@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,8.68
CC(C)OC(=O)[C@@H](Cn1cc(C#N)cn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,9.06
CC(C)OC(=O)[C@@H](Cn1cncn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,8.565
CC(C)OC(=O)[C@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,6.92
CC(C)Oc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(F)c1,6.29
CC(C)[C@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)Nc1c2c(cc3c1CCC3)CCC2,8.13
CC(C)c1cc(-c2ccc3c(c2)OC(F)(F)O3)cc(C(C)C)c1CC(=O)NS(=O)(=O)c1sc(C(C)(C)O)nc1CO,8.1
CC(C)c1cc(-c2cccc3ccccc23)cc(C(C)C)c1CC(=O)NS(=O)(=O)c1ccc(CN(C)C)cc1,7.4
CC(C)c1cc(Br)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1ccc2ccccc2c1,5.86
CC(C)c1cc(C#N)c(F)c(C(C)C)c1CC(=O)NS(=O)(=O)c1sc(C(C)(C)O)nc1CCO,6.7
CC(C)c1cc(Cl)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cccc(C(C)(C)O)c1,6.58
CC(C)c1cc(Cl)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cccc(C(C)O)c1,6.68
CC(C)c1cc(F)cc(-c2cccnc2)c1CC(=O)NS(=O)(=O)c1cnn(C2CC2)c1,5.3
CC(C)c1cc(F)cc(-c2cccnc2)c1CC(=O)NS(=O)(=O)c1cnn(C2CC2)n1,5.3
CC(C)c1cc(F)cc(-c2cccnc2)c1CC(=O)NS(=O)(=O)c1ncn(C2CC2)n1,5.3
CC(C)c1cc(F)cc(-c2ccncc2)c1CC(=O)NS(=O)(=O)c1ccn(C2CC2)n1,5.82
CC(C)c1cc(F)cc(C(C)C)c1CC(=O)NS(=O)(=O)c1cc(CN(C)C)n(C2CC2)n1,5.3
CC(C)c1cc(F)cc(C(C)C)c1CC(=O)NS(=O)(=O)c1cn(C2CC2)cn1,5.3
CC(C)c1cc(F)cc(C(C)C)c1CC(=O)NS(=O)(=O)c1cnn(C2CC2)c1,5.3
CC(C)c1cc(F)cc(C(C)C)c1CC(=O)NS(=O)(=O)c1cnn(C2CC2)n1,5.3
CC(C)c1cc(I)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1,7.51
CC(C)c1cc2c(=O)n(CC(=O)N[C@@H]3CCCN(C4CCC4)C3)nc(C(C)C)n2c1,7.16
CC(C)c1ccc(CC(=O)Nc2cccc(O)c2)cc1,6.75
CC(C)c1ccc([N+](=O)[O-])c(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1,6.92
CC(C)c1ccc2c(c1Nc1nc(C(=O)NS(=O)(=O)N(C)C)co1)CCC2,5.91
CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1,7.43
CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)c1ccc(Br)s1,6.11
CC(C)c1csc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,6.47
CC(C)c1nc2c(C(C)C)nn(CC(=O)Nc3ccc4nncn4c3)c(=O)c2s1,6.12
CC(C)c1nn(C(C)C(=O)Nc2ncc(F)cn2)c(=O)c2ccc(Br)cc12,5.44
CC(C)c1nn(C2(C(=O)Nc3ncccn3)CC2)c(=O)cc1-c1cc(F)cc(F)c1,5.94
CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc3sc(Cl)cc3n12,7.04
CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C)C2)c(=O)c2cc3sc(Cl)cc3n12,6.615
CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C)C2)c(=O)c2cc3scnc3n12,6.734999999999999
CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C3CCC3)C2)c(=O)c2cc3sc(Cl)cc3n12,9.52
CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C3CCC3)C2)c(=O)cc1-c1cccc(Cl)c1,6.04
CC(C)c1nn(CC(=O)N[C@@H]2CCCNC2)c(=O)c2cc3sc(Cl)cc3n12,6.48
CC(C)c1nn(CC(=O)N[C@H]2CN(C3CCC3)CC[C@H]2O)c(=O)c2cc(C3CC3)nn12,7.68
